Epoch,Training Accuracy,Test Accuracy
1,0.9618,0.9585
2,0.9780,0.9708
3,0.9840,0.9723
4,0.9887,0.9743
5,0.9924,0.9789
6,0.9944,0.9813
7,0.9961,0.9801
8,0.9959,0.9795
9,0.9977,0.9816
10,0.9971,0.9799
11,0.9978,0.9808
12,0.9982,0.9812
13,0.9990,0.9819
14,0.9976,0.9809
15,0.9994,0.9825
16,0.9969,0.9797
17,0.9979,0.9792
18,0.9996,0.9830
19,0.9990,0.9818
20,0.9991,0.9812
21,0.9963,0.9796
22,0.9988,0.9800
23,0.9977,0.9776
24,0.9991,0.9816
25,0.9996,0.9818
26,0.9977,0.9786
27,0.9996,0.9815
28,0.9988,0.9810
29,0.9991,0.9807
30,0.9990,0.9813
31,0.9996,0.9814
32,0.9992,0.9822
33,0.9992,0.9803
34,1.0000,0.9830
35,1.0000,0.9838
36,1.0000,0.9833
37,0.9929,0.9768
38,0.9996,0.9814
39,0.9989,0.9815
40,0.9999,0.9829
41,0.9990,0.9817
42,0.9993,0.9812
43,0.9976,0.9804
44,0.9992,0.9799
45,0.9998,0.9833
46,1.0000,0.9842
47,0.9997,0.9825
48,0.9999,0.9823
49,0.9984,0.9808
50,0.9996,0.9816
51,0.9995,0.9829
52,0.9997,0.9821
53,1.0000,0.9835
54,1.0000,0.9841
55,1.0000,0.9839
56,1.0000,0.9841
57,0.9970,0.9788
58,0.9995,0.9821
59,0.9999,0.9835
60,0.9999,0.9841
61,1.0000,0.9839
62,0.9999,0.9838
63,0.9995,0.9809
64,0.9991,0.9794
65,0.9994,0.9823
66,0.9996,0.9831
67,0.9987,0.9798
68,0.9996,0.9822
69,1.0000,0.9837
70,1.0000,0.9839
71,1.0000,0.9845
72,1.0000,0.9845
73,1.0000,0.9844
74,1.0000,0.9846
75,1.0000,0.9846
76,1.0000,0.9845
77,1.0000,0.9849
78,1.0000,0.9847
79,1.0000,0.9849
80,1.0000,0.9847
81,1.0000,0.9848
82,1.0000,0.9850
83,1.0000,0.9848
84,1.0000,0.9847
85,1.0000,0.9849
86,1.0000,0.9851
87,1.0000,0.9851
88,1.0000,0.9853
89,1.0000,0.9855
90,1.0000,0.9853
91,1.0000,0.9850
92,1.0000,0.9857
93,1.0000,0.9854
94,1.0000,0.9855
95,0.9930,0.9738
96,0.9988,0.9816
97,0.9999,0.9835
98,1.0000,0.9832
99,1.0000,0.9835
100,0.9996,0.9823
101,0.9994,0.9819
102,0.9978,0.9793
103,0.9999,0.9828
104,0.9999,0.9834
105,1.0000,0.9839
106,1.0000,0.9838
107,0.9978,0.9798
108,0.9998,0.9819
109,0.9999,0.9836
110,0.9997,0.9823
111,0.9999,0.9831
112,0.9999,0.9829
113,0.9991,0.9793
114,0.9997,0.9817
115,0.9999,0.9830
116,1.0000,0.9821
117,1.0000,0.9824
118,1.0000,0.9826
119,1.0000,0.9822
120,1.0000,0.9823
121,1.0000,0.9826
122,1.0000,0.9826
123,1.0000,0.9826
124,1.0000,0.9826
125,1.0000,0.9826
126,1.0000,0.9827
127,1.0000,0.9829
128,1.0000,0.9827
129,1.0000,0.9828
130,1.0000,0.9829
131,1.0000,0.9832
132,1.0000,0.9832
133,1.0000,0.9834
134,1.0000,0.9837
135,1.0000,0.9832
136,1.0000,0.9835
137,1.0000,0.9836
138,1.0000,0.9837
139,1.0000,0.9838
140,1.0000,0.9836
141,1.0000,0.9836
142,1.0000,0.9838
143,1.0000,0.9840
144,1.0000,0.9840
145,1.0000,0.9841
146,1.0000,0.9842
147,1.0000,0.9843
148,1.0000,0.9844
149,1.0000,0.9843
150,1.0000,0.9844
151,1.0000,0.9844
152,1.0000,0.9845
153,1.0000,0.9845
154,1.0000,0.9843
155,1.0000,0.9843
156,1.0000,0.9842
157,1.0000,0.9843
158,1.0000,0.9840
159,1.0000,0.9844
160,1.0000,0.9844
161,1.0000,0.9845
162,1.0000,0.9844
163,1.0000,0.9845
164,1.0000,0.9843
165,1.0000,0.9846
166,1.0000,0.9843
167,1.0000,0.9843
168,1.0000,0.9842
169,1.0000,0.9844
170,1.0000,0.9844
171,1.0000,0.9845
172,1.0000,0.9842
173,1.0000,0.9845
174,1.0000,0.9844
175,1.0000,0.9843
176,1.0000,0.9845
177,1.0000,0.9843
178,1.0000,0.9843
179,1.0000,0.9845
180,1.0000,0.9845
181,1.0000,0.9845
182,1.0000,0.9844
183,1.0000,0.9844
184,1.0000,0.9842
185,1.0000,0.9843
186,1.0000,0.9843
187,1.0000,0.9844
188,1.0000,0.9844
189,1.0000,0.9843
190,1.0000,0.9844
191,1.0000,0.9844
192,1.0000,0.9843
193,1.0000,0.9842
194,1.0000,0.9843
195,1.0000,0.9843
196,1.0000,0.9844
197,1.0000,0.9844
198,1.0000,0.9844
199,1.0000,0.9844
200,1.0000,0.9844
