Epoch,Training Accuracy,Test Accuracy
1,0.9659,0.9613
2,0.9778,0.9684
3,0.9786,0.9679
4,0.9859,0.9728
5,0.9872,0.9725
6,0.9907,0.9753
7,0.9923,0.9772
8,0.9902,0.9755
9,0.9933,0.9762
10,0.9915,0.9759
11,0.9929,0.9783
12,0.9912,0.9742
13,0.9920,0.9733
14,0.9952,0.9751
15,0.9949,0.9776
16,0.9946,0.9777
17,0.9955,0.9775
18,0.9959,0.9784
19,0.9945,0.9782
20,0.9949,0.9789
21,0.9973,0.9798
22,0.9967,0.9787
23,0.9973,0.9802
24,0.9969,0.9792
25,0.9983,0.9800
26,0.9975,0.9793
27,0.9980,0.9796
28,0.9973,0.9794
29,0.9959,0.9769
30,0.9967,0.9784
31,0.9995,0.9821
32,0.9974,0.9807
33,0.9973,0.9787
34,0.9973,0.9781
35,0.9978,0.9793
36,0.9985,0.9806
37,0.9980,0.9799
38,0.9981,0.9797
39,0.9987,0.9806
40,0.9969,0.9783
41,0.9992,0.9805
42,0.9986,0.9794
43,0.9964,0.9786
44,0.9974,0.9794
45,0.9990,0.9809
46,0.9967,0.9778
47,0.9961,0.9754
48,0.9979,0.9811
49,0.9993,0.9822
50,0.9976,0.9815
51,0.9957,0.9744
52,0.9991,0.9831
53,0.9990,0.9805
54,0.9990,0.9821
55,0.9977,0.9780
56,0.9994,0.9824
57,0.9991,0.9807
58,0.9995,0.9822
59,0.9972,0.9788
60,0.9993,0.9819
61,0.9988,0.9819
62,0.9979,0.9794
63,0.9989,0.9817
64,0.9992,0.9819
65,0.9983,0.9809
66,0.9987,0.9809
67,0.9949,0.9775
68,0.9993,0.9823
69,0.9988,0.9822
70,0.9977,0.9808
71,0.9990,0.9820
72,0.9997,0.9841
73,0.9990,0.9801
74,0.9977,0.9788
75,0.9992,0.9804
76,0.9996,0.9817
77,0.9990,0.9789
78,0.9990,0.9800
79,0.9990,0.9822
80,0.9990,0.9792
81,0.9991,0.9818
82,0.9989,0.9824
83,0.9990,0.9806
84,0.9996,0.9823
85,0.9990,0.9802
86,0.9997,0.9817
87,0.9983,0.9792
88,0.9987,0.9793
89,0.9989,0.9806
90,0.9998,0.9826
91,0.9990,0.9805
92,0.9987,0.9816
93,0.9993,0.9821
94,0.9992,0.9805
95,0.9987,0.9807
96,0.9994,0.9823
97,0.9983,0.9793
98,0.9992,0.9823
99,0.9992,0.9805
100,0.9997,0.9821
101,0.9992,0.9813
102,0.9987,0.9807
103,0.9979,0.9793
104,0.9972,0.9798
105,0.9997,0.9827
106,0.9991,0.9826
107,0.9990,0.9821
108,0.9991,0.9806
109,0.9984,0.9806
110,0.9997,0.9808
111,0.9992,0.9797
112,0.9990,0.9801
113,0.9988,0.9786
114,0.9996,0.9816
115,0.9997,0.9829
116,0.9989,0.9820
117,0.9978,0.9768
118,0.9996,0.9818
119,0.9992,0.9796
120,0.9996,0.9823
121,0.9984,0.9795
122,0.9994,0.9824
123,0.9980,0.9789
124,0.9997,0.9819
125,0.9996,0.9809
126,0.9989,0.9801
127,0.9985,0.9802
128,0.9990,0.9806
129,0.9996,0.9814
130,0.9998,0.9820
131,0.9984,0.9800
132,0.9991,0.9812
133,0.9999,0.9834
134,1.0000,0.9843
135,0.9978,0.9789
136,0.9988,0.9798
137,0.9995,0.9835
138,0.9992,0.9819
139,0.9996,0.9812
140,0.9997,0.9825
141,0.9978,0.9802
142,0.9997,0.9821
143,0.9991,0.9821
144,0.9991,0.9799
145,0.9998,0.9822
146,0.9997,0.9830
147,0.9995,0.9820
148,0.9993,0.9822
149,0.9992,0.9802
150,0.9991,0.9806
151,0.9998,0.9833
152,0.9995,0.9811
153,0.9993,0.9827
154,0.9982,0.9798
155,0.9990,0.9801
156,0.9997,0.9825
157,0.9990,0.9798
158,0.9997,0.9830
159,0.9998,0.9831
160,0.9988,0.9808
161,0.9996,0.9820
162,0.9996,0.9824
163,0.9994,0.9834
164,0.9994,0.9829
165,0.9993,0.9821
166,0.9994,0.9807
167,0.9991,0.9819
168,0.9999,0.9833
169,0.9995,0.9816
170,0.9987,0.9804
171,0.9996,0.9822
172,0.9997,0.9828
173,0.9999,0.9838
174,0.9995,0.9822
175,0.9994,0.9823
176,0.9981,0.9808
177,0.9997,0.9820
178,0.9998,0.9832
179,0.9992,0.9802
180,0.9997,0.9833
181,0.9979,0.9788
182,0.9993,0.9816
183,0.9999,0.9833
184,0.9993,0.9812
185,0.9999,0.9834
186,1.0000,0.9839
187,0.9992,0.9836
188,0.9997,0.9832
189,0.9998,0.9822
190,0.9999,0.9833
191,0.9996,0.9830
192,0.9995,0.9820
193,0.9981,0.9808
194,0.9996,0.9814
195,0.9998,0.9829
196,0.9999,0.9816
197,0.9999,0.9822
198,0.9982,0.9799
199,0.9991,0.9807
200,0.9998,0.9823
