Epoch,Training Accuracy,Test Accuracy
1,0.9559,0.9524
2,0.9749,0.9684
3,0.9820,0.9735
4,0.9839,0.9757
5,0.9838,0.9726
6,0.9902,0.9788
7,0.9922,0.9781
8,0.9927,0.9787
9,0.9943,0.9778
10,0.9935,0.9773
11,0.9957,0.9763
12,0.9938,0.9781
13,0.9952,0.9774
14,0.9931,0.9747
15,0.9961,0.9789
16,0.9955,0.9767
17,0.9964,0.9790
18,0.9980,0.9779
19,0.9984,0.9800
20,0.9973,0.9784
21,0.9978,0.9802
22,0.9963,0.9779
23,0.9978,0.9798
24,0.9954,0.9769
25,0.9983,0.9788
26,0.9982,0.9799
27,0.9985,0.9803
28,0.9977,0.9796
29,0.9978,0.9799
30,0.9989,0.9821
31,0.9980,0.9807
32,0.9991,0.9802
33,0.9988,0.9804
34,0.9964,0.9774
35,0.9994,0.9813
36,0.9986,0.9789
37,0.9982,0.9783
38,0.9983,0.9802
39,0.9983,0.9789
40,0.9978,0.9806
41,0.9990,0.9795
42,0.9986,0.9799
43,0.9982,0.9786
44,0.9996,0.9827
45,0.9999,0.9829
46,0.9973,0.9783
47,0.9985,0.9795
48,0.9990,0.9797
49,0.9988,0.9780
50,0.9995,0.9813
51,0.9990,0.9807
52,0.9998,0.9823
53,0.9986,0.9796
54,0.9998,0.9829
55,0.9999,0.9827
56,0.9971,0.9785
57,0.9990,0.9798
58,0.9985,0.9789
59,0.9995,0.9803
60,0.9996,0.9806
61,0.9992,0.9802
62,0.9988,0.9788
63,0.9996,0.9815
64,0.9978,0.9784
65,0.9978,0.9796
66,0.9993,0.9806
67,0.9999,0.9842
68,0.9999,0.9856
69,0.9981,0.9785
70,0.9991,0.9800
71,0.9993,0.9823
72,0.9998,0.9841
73,0.9974,0.9781
74,0.9993,0.9794
75,0.9999,0.9816
76,0.9995,0.9812
77,0.9980,0.9806
78,0.9984,0.9781
79,0.9992,0.9806
80,0.9999,0.9809
81,0.9995,0.9806
82,0.9990,0.9811
83,0.9983,0.9785
84,0.9993,0.9818
85,0.9999,0.9830
86,0.9999,0.9825
87,1.0000,0.9829
88,1.0000,0.9839
89,0.9944,0.9747
90,0.9989,0.9785
91,0.9997,0.9808
92,0.9999,0.9804
93,0.9999,0.9809
94,0.9978,0.9791
95,0.9991,0.9802
96,0.9992,0.9808
97,0.9995,0.9800
98,0.9999,0.9822
99,0.9998,0.9810
100,0.9941,0.9743
101,0.9997,0.9816
102,0.9999,0.9813
103,0.9997,0.9815
104,0.9981,0.9782
105,0.9992,0.9811
106,0.9994,0.9810
107,0.9995,0.9813
108,0.9996,0.9807
109,0.9995,0.9814
110,0.9995,0.9814
111,0.9991,0.9795
112,0.9997,0.9808
113,0.9999,0.9827
114,0.9999,0.9814
115,0.9975,0.9767
116,0.9992,0.9807
117,0.9995,0.9804
118,0.9998,0.9819
119,1.0000,0.9831
120,1.0000,0.9827
121,1.0000,0.9830
122,1.0000,0.9830
123,1.0000,0.9830
124,1.0000,0.9829
125,1.0000,0.9830
126,1.0000,0.9831
127,1.0000,0.9831
128,1.0000,0.9831
129,1.0000,0.9830
130,1.0000,0.9832
131,1.0000,0.9832
132,1.0000,0.9832
133,1.0000,0.9832
134,1.0000,0.9832
135,1.0000,0.9832
136,1.0000,0.9832
137,1.0000,0.9832
138,1.0000,0.9832
139,1.0000,0.9832
140,1.0000,0.9830
141,1.0000,0.9832
142,1.0000,0.9830
143,1.0000,0.9830
144,1.0000,0.9830
145,1.0000,0.9831
146,1.0000,0.9831
147,1.0000,0.9831
148,1.0000,0.9831
149,1.0000,0.9831
150,1.0000,0.9831
151,1.0000,0.9832
152,1.0000,0.9834
153,1.0000,0.9832
154,1.0000,0.9834
155,1.0000,0.9834
156,1.0000,0.9834
157,1.0000,0.9833
158,1.0000,0.9833
159,1.0000,0.9834
160,1.0000,0.9835
161,1.0000,0.9833
162,1.0000,0.9835
163,1.0000,0.9834
164,1.0000,0.9834
165,1.0000,0.9833
166,1.0000,0.9834
167,1.0000,0.9833
168,1.0000,0.9834
169,1.0000,0.9834
170,1.0000,0.9834
171,1.0000,0.9834
172,1.0000,0.9835
173,1.0000,0.9834
174,1.0000,0.9832
175,1.0000,0.9834
176,1.0000,0.9835
177,1.0000,0.9835
178,1.0000,0.9834
179,1.0000,0.9834
180,1.0000,0.9832
181,1.0000,0.9833
182,1.0000,0.9833
183,1.0000,0.9831
184,1.0000,0.9832
185,1.0000,0.9832
186,1.0000,0.9832
187,1.0000,0.9833
188,1.0000,0.9832
189,1.0000,0.9832
190,1.0000,0.9833
191,1.0000,0.9832
192,1.0000,0.9834
193,1.0000,0.9833
194,1.0000,0.9833
195,1.0000,0.9833
196,1.0000,0.9832
197,1.0000,0.9833
198,1.0000,0.9833
199,1.0000,0.9832
200,1.0000,0.9832
