Epoch,Training Accuracy,Test Accuracy
1,0.9630,0.9560
2,0.9730,0.9665
3,0.9832,0.9697
4,0.9829,0.9692
5,0.9849,0.9707
6,0.9860,0.9719
7,0.9904,0.9743
8,0.9919,0.9748
9,0.9933,0.9760
10,0.9881,0.9682
11,0.9939,0.9756
12,0.9940,0.9740
13,0.9929,0.9738
14,0.9936,0.9736
15,0.9954,0.9762
16,0.9937,0.9772
17,0.9940,0.9760
18,0.9953,0.9767
19,0.9952,0.9755
20,0.9953,0.9757
21,0.9940,0.9756
22,0.9978,0.9782
23,0.9960,0.9749
24,0.9957,0.9769
25,0.9965,0.9781
26,0.9978,0.9795
27,0.9960,0.9765
28,0.9987,0.9804
29,0.9935,0.9742
30,0.9985,0.9787
31,0.9973,0.9780
32,0.9972,0.9774
33,0.9947,0.9749
34,0.9982,0.9786
35,0.9950,0.9748
36,0.9985,0.9781
37,0.9986,0.9796
38,0.9977,0.9776
39,0.9971,0.9753
40,0.9984,0.9779
41,0.9992,0.9781
42,0.9986,0.9771
43,0.9966,0.9775
44,0.9967,0.9767
45,0.9973,0.9767
46,0.9989,0.9796
47,0.9953,0.9742
48,0.9980,0.9790
49,0.9994,0.9804
50,0.9962,0.9765
51,0.9973,0.9765
52,0.9990,0.9792
53,0.9966,0.9767
54,0.9989,0.9806
55,0.9983,0.9790
56,0.9966,0.9749
57,0.9994,0.9775
58,0.9940,0.9725
59,0.9995,0.9789
60,0.9960,0.9732
61,0.9973,0.9755
62,0.9987,0.9766
63,0.9959,0.9752
64,0.9966,0.9758
65,0.9987,0.9785
66,0.9990,0.9789
67,0.9977,0.9763
68,0.9981,0.9778
69,0.9991,0.9794
70,0.9990,0.9795
71,0.9987,0.9773
72,0.9966,0.9768
73,0.9987,0.9775
74,0.9983,0.9772
75,0.9971,0.9758
76,0.9980,0.9775
77,0.9991,0.9773
78,0.9998,0.9791
79,1.0000,0.9803
80,0.9946,0.9729
81,0.9981,0.9771
82,0.9955,0.9758
83,0.9991,0.9782
84,0.9988,0.9782
85,0.9978,0.9788
86,0.9983,0.9794
87,0.9978,0.9777
88,0.9980,0.9759
89,0.9987,0.9781
90,0.9991,0.9788
91,0.9952,0.9745
92,0.9985,0.9781
93,0.9995,0.9778
94,0.9990,0.9777
95,0.9987,0.9792
96,0.9985,0.9800
97,0.9979,0.9773
98,0.9990,0.9783
99,0.9989,0.9785
100,0.9996,0.9802
101,0.9981,0.9780
102,0.9978,0.9778
103,0.9987,0.9782
104,0.9992,0.9800
105,0.9992,0.9787
106,0.9968,0.9756
107,0.9988,0.9796
108,0.9998,0.9808
109,0.9989,0.9802
110,0.9993,0.9804
111,0.9977,0.9763
112,0.9994,0.9786
113,0.9959,0.9770
114,0.9988,0.9782
115,0.9996,0.9794
116,0.9994,0.9787
117,0.9985,0.9752
118,0.9991,0.9800
119,0.9996,0.9793
120,0.9987,0.9786
121,0.9991,0.9803
122,0.9971,0.9764
123,0.9987,0.9781
124,0.9989,0.9775
125,0.9981,0.9774
126,0.9991,0.9798
127,0.9991,0.9790
128,0.9988,0.9772
129,0.9992,0.9793
130,0.9991,0.9789
131,0.9989,0.9785
132,0.9996,0.9791
133,0.9999,0.9787
134,0.9999,0.9798
135,0.9981,0.9766
136,0.9990,0.9785
137,0.9996,0.9800
138,0.9989,0.9793
139,0.9987,0.9792
140,0.9990,0.9793
141,0.9984,0.9802
142,0.9985,0.9769
143,0.9975,0.9759
144,0.9990,0.9785
145,1.0000,0.9813
146,1.0000,0.9812
147,1.0000,0.9817
148,1.0000,0.9817
149,1.0000,0.9818
150,1.0000,0.9818
151,1.0000,0.9817
152,1.0000,0.9816
153,1.0000,0.9817
154,1.0000,0.9814
155,1.0000,0.9814
156,1.0000,0.9813
157,1.0000,0.9813
158,1.0000,0.9813
159,1.0000,0.9811
160,1.0000,0.9810
161,1.0000,0.9813
162,1.0000,0.9816
163,1.0000,0.9815
164,1.0000,0.9817
165,1.0000,0.9816
166,1.0000,0.9817
167,1.0000,0.9817
168,1.0000,0.9817
169,1.0000,0.9817
170,1.0000,0.9817
171,1.0000,0.9817
172,1.0000,0.9816
173,1.0000,0.9816
174,1.0000,0.9816
175,1.0000,0.9817
176,1.0000,0.9816
177,1.0000,0.9817
178,1.0000,0.9816
179,1.0000,0.9818
180,1.0000,0.9819
181,1.0000,0.9819
182,1.0000,0.9820
183,1.0000,0.9821
184,1.0000,0.9820
185,1.0000,0.9820
186,1.0000,0.9819
187,1.0000,0.9819
188,1.0000,0.9819
189,1.0000,0.9821
190,1.0000,0.9821
191,1.0000,0.9821
192,1.0000,0.9820
193,1.0000,0.9820
194,1.0000,0.9820
195,1.0000,0.9821
196,1.0000,0.9820
197,1.0000,0.9818
198,1.0000,0.9819
199,1.0000,0.9820
200,1.0000,0.9820
