Epoch,Training Accuracy,Test Accuracy
1,0.9639,0.9619
2,0.9775,0.9696
3,0.9772,0.9686
4,0.9822,0.9673
5,0.9733,0.9617
6,0.9882,0.9764
7,0.9896,0.9770
8,0.9912,0.9778
9,0.9930,0.9819
10,0.9891,0.9768
11,0.9941,0.9810
12,0.9943,0.9811
13,0.9929,0.9819
14,0.9905,0.9762
15,0.9949,0.9805
16,0.9959,0.9804
17,0.9957,0.9816
18,0.9913,0.9763
19,0.9898,0.9780
20,0.9966,0.9823
21,0.9902,0.9772
22,0.9954,0.9814
23,0.9964,0.9798
24,0.9977,0.9827
25,0.9949,0.9791
26,0.9972,0.9818
27,0.9964,0.9826
28,0.9961,0.9818
29,0.9966,0.9819
30,0.9974,0.9819
31,0.9977,0.9824
32,0.9968,0.9814
33,0.9968,0.9811
34,0.9982,0.9826
35,0.9988,0.9842
36,0.9984,0.9835
37,0.9976,0.9826
38,0.9977,0.9820
39,0.9946,0.9777
40,0.9973,0.9812
41,0.9980,0.9802
42,0.9989,0.9828
43,0.9989,0.9816
44,0.9990,0.9816
45,0.9970,0.9789
46,0.9983,0.9834
47,0.9988,0.9830
48,0.9949,0.9784
49,0.9973,0.9798
50,0.9986,0.9848
51,0.9978,0.9802
52,0.9993,0.9832
53,0.9988,0.9839
54,0.9960,0.9791
55,0.9978,0.9818
56,0.9987,0.9829
57,0.9958,0.9804
58,0.9980,0.9817
59,0.9994,0.9853
60,0.9989,0.9836
61,0.9992,0.9838
62,0.9984,0.9823
63,0.9992,0.9826
64,0.9991,0.9828
65,0.9986,0.9837
66,0.9986,0.9822
67,0.9994,0.9851
68,0.9975,0.9826
69,0.9991,0.9839
70,0.9977,0.9833
71,0.9990,0.9829
72,0.9993,0.9843
73,0.9943,0.9785
74,0.9988,0.9825
75,0.9978,0.9811
76,0.9970,0.9795
77,0.9986,0.9853
78,0.9998,0.9856
79,0.9999,0.9864
80,0.9999,0.9861
81,0.9969,0.9801
82,0.9990,0.9845
83,0.9989,0.9843
84,0.9991,0.9851
85,0.9995,0.9868
86,0.9989,0.9854
87,0.9984,0.9825
88,0.9997,0.9856
89,0.9970,0.9803
90,0.9963,0.9805
91,0.9988,0.9826
92,0.9986,0.9840
93,0.9973,0.9814
94,0.9991,0.9837
95,0.9996,0.9852
96,0.9982,0.9813
97,0.9998,0.9838
98,0.9999,0.9853
99,0.9990,0.9827
100,0.9994,0.9826
101,0.9991,0.9839
102,0.9995,0.9830
103,0.9998,0.9865
104,0.9978,0.9821
105,0.9995,0.9837
106,0.9990,0.9819
107,0.9982,0.9825
108,0.9980,0.9834
109,0.9998,0.9854
110,0.9997,0.9856
111,0.9990,0.9819
112,0.9999,0.9845
113,0.9978,0.9797
114,0.9993,0.9840
115,0.9986,0.9827
116,0.9984,0.9811
117,0.9983,0.9812
118,0.9999,0.9843
119,1.0000,0.9854
120,1.0000,0.9856
121,1.0000,0.9845
122,1.0000,0.9845
123,0.9981,0.9838
124,0.9978,0.9816
125,0.9993,0.9829
126,0.9982,0.9804
127,0.9994,0.9845
128,0.9986,0.9809
129,0.9989,0.9808
130,0.9990,0.9799
131,0.9984,0.9784
132,0.9994,0.9810
133,0.9975,0.9778
134,0.9995,0.9829
135,0.9997,0.9843
136,0.9993,0.9829
137,0.9993,0.9829
138,0.9996,0.9839
139,0.9997,0.9843
140,0.9997,0.9836
141,0.9994,0.9835
142,0.9980,0.9810
143,0.9945,0.9750
144,0.9992,0.9834
145,0.9996,0.9838
146,0.9991,0.9827
147,0.9977,0.9828
148,0.9997,0.9845
149,0.9969,0.9796
150,0.9990,0.9823
151,0.9997,0.9842
152,0.9993,0.9824
153,0.9996,0.9844
154,0.9996,0.9845
155,0.9946,0.9779
156,0.9991,0.9829
157,0.9992,0.9845
158,0.9968,0.9804
159,0.9992,0.9835
160,0.9990,0.9815
161,0.9991,0.9842
162,0.9996,0.9858
163,0.9998,0.9862
164,0.9992,0.9840
165,0.9993,0.9837
166,0.9990,0.9827
167,0.9996,0.9846
168,0.9996,0.9847
169,0.9997,0.9846
170,0.9998,0.9848
171,0.9996,0.9844
172,0.9974,0.9815
173,0.9985,0.9819
174,0.9997,0.9842
175,0.9984,0.9819
176,0.9996,0.9837
177,0.9999,0.9852
178,0.9999,0.9849
179,0.9984,0.9826
180,0.9978,0.9807
181,0.9991,0.9830
182,0.9989,0.9835
183,0.9995,0.9825
184,0.9989,0.9824
185,0.9998,0.9840
186,0.9997,0.9837
187,0.9998,0.9837
188,0.9998,0.9840
189,0.9982,0.9822
190,0.9989,0.9831
191,0.9995,0.9843
192,0.9997,0.9854
193,0.9992,0.9843
194,0.9994,0.9828
195,0.9985,0.9834
196,0.9938,0.9769
197,0.9980,0.9800
198,0.9989,0.9833
199,0.9994,0.9849
200,0.9988,0.9825
