Epoch,Training Accuracy,Test Accuracy
1,0.8837,0.8890
2,0.8998,0.9051
3,0.9077,0.9091
4,0.9086,0.9100
5,0.9122,0.9111
6,0.9148,0.9159
7,0.9154,0.9155
8,0.9184,0.9176
9,0.9191,0.9180
10,0.9180,0.9173
11,0.9193,0.9180
12,0.9204,0.9175
13,0.9225,0.9210
14,0.9243,0.9215
15,0.9233,0.9206
16,0.9235,0.9208
17,0.9251,0.9206
18,0.9260,0.9212
19,0.9260,0.9212
20,0.9242,0.9207
21,0.9269,0.9236
22,0.9262,0.9213
23,0.9281,0.9231
24,0.9279,0.9214
25,0.9301,0.9248
26,0.9284,0.9208
27,0.9274,0.9198
28,0.9301,0.9233
29,0.9295,0.9236
30,0.9306,0.9205
31,0.9308,0.9249
32,0.9290,0.9232
33,0.9306,0.9251
34,0.9305,0.9223
35,0.9307,0.9234
36,0.9308,0.9224
37,0.9286,0.9206
38,0.9309,0.9212
39,0.9312,0.9230
40,0.9302,0.9234
41,0.9313,0.9219
42,0.9327,0.9236
43,0.9329,0.9229
44,0.9339,0.9248
45,0.9319,0.9226
46,0.9339,0.9241
47,0.9342,0.9248
48,0.9343,0.9253
49,0.9345,0.9244
50,0.9348,0.9260
51,0.9345,0.9246
52,0.9354,0.9240
53,0.9356,0.9243
54,0.9350,0.9267
55,0.9352,0.9243
56,0.9337,0.9241
57,0.9358,0.9227
58,0.9348,0.9242
59,0.9356,0.9256
60,0.9350,0.9226
61,0.9354,0.9233
62,0.9360,0.9265
63,0.9371,0.9242
64,0.9352,0.9225
65,0.9363,0.9232
66,0.9377,0.9261
67,0.9363,0.9228
68,0.9365,0.9266
69,0.9379,0.9241
70,0.9381,0.9250
71,0.9366,0.9237
72,0.9367,0.9258
73,0.9376,0.9225
74,0.9388,0.9265
75,0.9365,0.9253
76,0.9381,0.9236
77,0.9392,0.9261
78,0.9378,0.9239
79,0.9401,0.9238
80,0.9392,0.9263
81,0.9386,0.9268
82,0.9388,0.9250
83,0.9391,0.9253
84,0.9387,0.9258
85,0.9393,0.9269
86,0.9396,0.9265
87,0.9406,0.9267
88,0.9397,0.9269
89,0.9402,0.9268
90,0.9396,0.9274
91,0.9398,0.9268
92,0.9390,0.9266
93,0.9380,0.9241
94,0.9407,0.9261
95,0.9394,0.9268
96,0.9412,0.9261
97,0.9404,0.9264
98,0.9409,0.9257
99,0.9415,0.9270
100,0.9408,0.9258
101,0.9409,0.9268
102,0.9402,0.9258
103,0.9416,0.9287
104,0.9416,0.9264
105,0.9395,0.9238
106,0.9404,0.9256
107,0.9398,0.9244
108,0.9404,0.9262
109,0.9408,0.9260
110,0.9412,0.9286
111,0.9414,0.9271
112,0.9419,0.9283
113,0.9430,0.9276
114,0.9421,0.9278
115,0.9419,0.9278
116,0.9413,0.9274
117,0.9419,0.9285
118,0.9410,0.9253
119,0.9428,0.9300
120,0.9416,0.9264
121,0.9434,0.9273
122,0.9432,0.9278
123,0.9423,0.9270
124,0.9423,0.9282
125,0.9442,0.9273
126,0.9434,0.9254
127,0.9431,0.9261
128,0.9430,0.9287
129,0.9417,0.9278
130,0.9434,0.9282
131,0.9435,0.9263
132,0.9430,0.9263
133,0.9437,0.9272
134,0.9449,0.9286
135,0.9429,0.9262
136,0.9428,0.9256
137,0.9438,0.9262
138,0.9436,0.9267
139,0.9441,0.9285
140,0.9440,0.9289
141,0.9410,0.9275
142,0.9437,0.9273
143,0.9444,0.9275
144,0.9436,0.9298
145,0.9420,0.9266
146,0.9442,0.9279
147,0.9438,0.9271
148,0.9451,0.9284
149,0.9445,0.9291
150,0.9444,0.9263
151,0.9450,0.9286
152,0.9431,0.9283
153,0.9447,0.9295
154,0.9437,0.9275
155,0.9455,0.9296
156,0.9444,0.9281
157,0.9443,0.9281
158,0.9447,0.9285
159,0.9447,0.9282
160,0.9461,0.9293
161,0.9444,0.9294
162,0.9458,0.9299
163,0.9455,0.9268
164,0.9451,0.9298
165,0.9457,0.9298
166,0.9454,0.9287
167,0.9441,0.9266
168,0.9446,0.9289
169,0.9466,0.9297
170,0.9460,0.9290
171,0.9458,0.9302
172,0.9461,0.9303
173,0.9450,0.9288
174,0.9460,0.9300
175,0.9467,0.9300
176,0.9477,0.9300
177,0.9463,0.9298
178,0.9455,0.9292
179,0.9462,0.9301
180,0.9469,0.9289
181,0.9456,0.9289
182,0.9466,0.9301
183,0.9462,0.9297
184,0.9482,0.9301
185,0.9472,0.9301
186,0.9465,0.9308
187,0.9454,0.9303
188,0.9460,0.9301
189,0.9483,0.9304
190,0.9467,0.9288
191,0.9483,0.9320
192,0.9474,0.9321
193,0.9473,0.9297
194,0.9479,0.9304
195,0.9483,0.9312
196,0.9479,0.9300
197,0.9457,0.9311
198,0.9480,0.9305
199,0.9460,0.9286
200,0.9482,0.9300
