Epoch,Training Accuracy,Test Accuracy
1,0.9614,0.9565
2,0.9716,0.9623
3,0.9811,0.9704
4,0.9761,0.9641
5,0.9865,0.9737
6,0.9888,0.9746
7,0.9880,0.9729
8,0.9931,0.9767
9,0.9925,0.9768
10,0.9900,0.9764
11,0.9941,0.9789
12,0.9933,0.9767
13,0.9931,0.9772
14,0.9923,0.9740
15,0.9919,0.9735
16,0.9953,0.9772
17,0.9919,0.9771
18,0.9925,0.9758
19,0.9926,0.9751
20,0.9956,0.9803
21,0.9944,0.9779
22,0.9968,0.9800
23,0.9961,0.9778
24,0.9972,0.9813
25,0.9958,0.9809
26,0.9966,0.9805
27,0.9975,0.9807
28,0.9983,0.9824
29,0.9957,0.9768
30,0.9965,0.9784
31,0.9941,0.9766
32,0.9973,0.9808
33,0.9980,0.9803
34,0.9983,0.9816
35,0.9987,0.9826
36,0.9986,0.9811
37,0.9964,0.9807
38,0.9988,0.9828
39,0.9959,0.9790
40,0.9972,0.9807
41,0.9981,0.9794
42,0.9983,0.9824
43,0.9983,0.9806
44,0.9951,0.9798
45,0.9969,0.9805
46,0.9972,0.9813
47,0.9974,0.9805
48,0.9992,0.9853
49,0.9968,0.9811
50,0.9981,0.9822
51,0.9981,0.9810
52,0.9976,0.9814
53,0.9957,0.9799
54,0.9982,0.9811
55,0.9985,0.9816
56,0.9991,0.9833
57,0.9979,0.9807
58,0.9990,0.9819
59,0.9977,0.9778
60,0.9989,0.9826
61,0.9976,0.9802
62,0.9969,0.9806
63,0.9992,0.9820
64,0.9987,0.9797
65,0.9990,0.9816
66,0.9993,0.9842
67,0.9994,0.9817
68,0.9992,0.9826
69,0.9994,0.9824
70,0.9985,0.9807
71,0.9995,0.9821
72,0.9971,0.9806
73,0.9992,0.9827
74,0.9980,0.9807
75,0.9992,0.9818
76,0.9988,0.9821
77,0.9992,0.9820
78,0.9995,0.9823
79,0.9990,0.9827
80,0.9985,0.9806
81,0.9995,0.9827
82,0.9993,0.9822
83,0.9988,0.9817
84,0.9988,0.9820
85,0.9997,0.9824
86,0.9996,0.9831
87,0.9971,0.9784
88,0.9993,0.9830
89,0.9992,0.9832
90,0.9991,0.9820
91,0.9992,0.9831
92,0.9989,0.9826
93,0.9990,0.9828
94,0.9997,0.9853
95,0.9972,0.9780
96,0.9979,0.9810
97,0.9994,0.9822
98,0.9993,0.9811
99,0.9997,0.9832
100,0.9990,0.9818
101,0.9982,0.9818
102,0.9992,0.9843
103,0.9993,0.9843
104,0.9998,0.9855
105,0.9973,0.9805
106,0.9993,0.9832
107,0.9990,0.9806
108,0.9986,0.9812
109,0.9996,0.9838
110,0.9995,0.9831
111,0.9947,0.9777
112,0.9997,0.9846
113,0.9990,0.9840
114,0.9997,0.9847
115,0.9998,0.9841
116,1.0000,0.9846
117,0.9974,0.9787
118,0.9996,0.9834
119,0.9960,0.9814
120,0.9989,0.9816
121,0.9986,0.9823
122,0.9994,0.9830
123,0.9999,0.9849
124,1.0000,0.9847
125,0.9992,0.9819
126,0.9993,0.9828
127,0.9994,0.9825
128,0.9980,0.9810
129,0.9995,0.9819
130,0.9999,0.9835
131,0.9999,0.9831
132,0.9999,0.9828
133,0.9986,0.9816
134,0.9982,0.9806
135,0.9998,0.9851
136,0.9998,0.9839
137,0.9998,0.9848
138,0.9997,0.9841
139,0.9998,0.9849
140,0.9999,0.9850
141,0.9994,0.9818
142,0.9994,0.9836
143,0.9997,0.9835
144,0.9999,0.9845
145,0.9991,0.9828
146,0.9957,0.9791
147,0.9988,0.9816
148,0.9996,0.9838
149,0.9997,0.9842
150,0.9999,0.9844
151,0.9991,0.9841
152,0.9993,0.9824
153,0.9983,0.9809
154,0.9998,0.9828
155,0.9997,0.9835
156,0.9997,0.9834
157,0.9996,0.9823
158,0.9999,0.9834
159,0.9983,0.9803
160,0.9988,0.9815
161,0.9996,0.9839
162,0.9977,0.9797
163,0.9998,0.9837
164,0.9998,0.9837
165,0.9997,0.9849
166,0.9999,0.9849
167,0.9997,0.9845
168,0.9994,0.9843
169,0.9999,0.9842
170,1.0000,0.9843
171,1.0000,0.9842
172,0.9992,0.9819
173,0.9993,0.9824
174,0.9997,0.9834
175,0.9995,0.9832
176,0.9999,0.9834
177,0.9998,0.9830
178,0.9999,0.9832
179,0.9999,0.9846
180,0.9957,0.9771
181,0.9987,0.9797
182,0.9997,0.9822
183,0.9998,0.9829
184,0.9997,0.9808
185,0.9997,0.9814
186,0.9998,0.9827
187,0.9999,0.9844
188,0.9999,0.9843
189,0.9972,0.9808
190,0.9989,0.9818
191,0.9998,0.9835
192,0.9999,0.9841
193,0.9997,0.9832
194,0.9997,0.9841
195,0.9999,0.9834
196,0.9997,0.9822
197,0.9991,0.9803
198,0.9995,0.9823
199,0.9997,0.9831
200,0.9995,0.9816
